"name","number","location"
"DESTINY SLINGERLAND","#17","Cowley, AB"
"MASON SNIVELY","#365",", QC"
"ANTHONY SPADACCINI","#98","Cumberland, ON"
"KANE SPEAR","#446","Washingtonville, NE"
"JAYLEN SPENCER","#126","Earltown, NO"
"JOHNATHAN STASUKELIS","#775","Phillipston, MA"
"GUILLAUME ST-CYR","#78","Victoriaville, QC"
"HUNTER STEMPEL","#664","BayShore, NE"
"TYLER STEPEK","#314","MountAiry, MD"
"ETHAN STEVENSON","#57","Oshawa, ON"
"EVAN STEWART","#423","HollandLanding, ON"
"EVAN STICE","#25","Carmen, ID"
"GAGE STINE","#268","Woodsboro, MD"
"MATTHEW STOKES","#317","Boissevain, MB"
"LANE STUPNISKI","#717","Barrhead, AB"
"KEVIN SULLIVAN","#89","SuttonWest, ON"
"JESSE SYLVESTRE","#128x","Chapleau, ON"
"ROSALY SYLVESTRE","#112","Berthierville, QC"
"KANDREYA SZUSZ","#159","Kingsville, ON"
"JOE TAIT","#85","Wilton, CT"
"NOLAN TALES","#168","StThomas, ON"
"BENTLEY TONDU","#112","Edgerton, AB"
"ALEX TREMBLAY","#120","Stnazairelacstjean, QC"
"JORDANNE TROTTIER","#26","Saint-Stanislas-de-C, QC"
"LILLY TURNER","#753","PICKERING, ON"
"ZACH UFIMZEFF","#40","LakeCountry, BR"
"SETH UNRAU","#277","STANLEY, MB"
"LARS VANBERKEL","#107","Hanover, ON"
"LUKE VANLYSSEL","#285","Fremont, WI"
"ASHTON VICKERS","#909","grovespoint, NO"
"NOAH VINEY","#73","Murrieta, ON"
"ANTHONY VOGHELL","#22v","ST CESAIRE, QC"
"BRYCE WADGE","#87","Stonewall, MB"
"ROBBIE WAGEMEN","#64",","
"COOPER WALLIS","#67",", ON"
"DYLAN WALSH","#54","CHRISTCHURCH, NZ"
"GLEN-RYAN WALTERS","#38","Brookfield, NO"
"AXEL WANDLER","#91","NorthBattleford, SK"
"TANNER WARD","#84","Woodstock, ON"
"REGAN WEENK","#928","LETHBRIDGE, AB"
"ALEX WHITE","#659","OldOrchardBeach, ME"
"DANIKA WHITE","#25","Calgary, AB"
"JASON WHITE","#884","Killingworth, CT"
"NYKEA WILLIAAMS","#33",","
"MICHAEL WILLIAMS","#151","Greenfield, MA"
"DAMON WINTER","#151","CarletonPlace, ON"
"PRESTON WITTKOPP","#540","Longview, WA"
"COREY WOOD","#613","Pasadena, NE"
"DYLAN WRIGHT","#9","Drummondville, QC"
"JOSH WRIGHT","#992","Frankford, ON"
"BRETT YOUNG","#150","LAWRENCETOWN,"
"MATT YOUNG","#811","Nanaimo, BR"
"ZACK ZAGER","#781","Melbourne, ON"
"AARON ZIELFELDER","#72","Farmington, NE"
