name,number,location,manufacturer,updated_location,round
ADRIEN MALAVAL,#131,"capbreton, FR",Yamaha,France,
RYDER MALINOSKI,#981,"Wyoming, MN",Yamaha,Minnesota,
PRESTON MASCIANGELO,#71,"Waterford, ON",KTM,Ontario,7
PRESTON MASCIANGELO,#71,"Waterford, ON",KTM,Ontario,8
PRESTON MASCIANGELO,#71,"Waterford, ON",Gas Gas,Ontario,3
PRESTON MASCIANGELO,#71,"Waterford, ON",Gas Gas,Ontario,4
PRESTON MASCIANGELO,#71,"Waterford, ON",Gas Gas,Ontario,5
PAWEL MASLAK,#392,"Columbia, CT",Yamaha,Connecticut,
JOSH MCBRIDE,#732,"Enumclaw, WA",Triumph,Washington,
NICK MCDONNELL,#294,"FeedingHills, MA",Gas Gas,Massachusetts,
WYATT MCGRATH,#838,"BELDENVILLE, WI",Husqvarna,Wisconsin,
DAMON MCGUIGAN,#615,"RockyMountainHouse, AB",Yamaha,Alberta,
BRANDY MCLARTY,#45,"EchoBay, ON",KTM,Ontario,
RYDER MCNABB,#6,"MINNEDOSA, MB",Honda,Manitoba,
TYLER MEDAGLIA,#5,"Brookfield, On",Yamaha,Ontario,
KEYLAN MESTON,#10,"RockyViewCounty, AB",Honda,Alberta,
MARS MILLAR,#754,"Canmore, AB",Gas Gas,Alberta,
ISABELLA MORGAN,#12,"Barrie, ON",KTM,Ontario,
DYLAN MORIARTY,#933,"Granby, MA",Yamaha,Massachusetts,
ALEXANDRE MORIN,#686,"St-Lin-Laurentides, QC",Kawasaki,Quebec,
PAYTON MORNINGSTAR,#292,"FortErie, ON",KTM,Ontario,
RYAN MOTT,#428,"NorthAugusta, ON",Yamaha,Ontario,
KYLE MURDOCH,#37,"Winchendon, MA",Kawasaki,Massachusetts,
AXEL NEFF,#959,"Slipperyrock, PA",KTM,Pennsylvania,
BENJAMIN NELKO,#50,"Aliquippa, PA",Honda,Pennsylvania,
JACK NERONHA,#369,"Exeter, RH",KTM,Rhode Island,
LEITH NESS,#187,"Blackwater, ON",KTM,Ontario,
GAGE NEUBAUER,#753,"Medford, WI",Yamaha,Wisconsin,
ISAAC NICE,#200,"Kars, NE",Honda,New Brunswick,
JONAH NICE,#256,"Kars, NE",Honda,New Brunswick,
COHEN NICKERSON,#129,"SHAG HARBOUR, NS",Yamaha,Nova Scotia,
PHIL NICOLETTI,#29,"COCHECTON, NY",Kawasaki,New York,
BROOK NIEVAR,#251,"Graham, TX",Kawasaki,Texas,
NICHOLAS NILES,#972,"Gansevoort, NE",Yamaha,New York,
LAYNE NUYENS,#187,"LakeCountry, BR",Kawasaki,British Columbia,
CONNOR OLSON,#600,"Corona, CA",Honda,California,
BLAKE OSATCHUK,#202,"Regina, SK",Yamaha,Saskatchewan,
CHANTAL OUELLET,#22,",",Yamaha,Ontario,
ANGIE PAGE,#20,"Stececiledemilton, QC",KTM,Quebec,
OWEN PAQUIN,#112,"Saskatoon, SK",KTM,Saskatchewan,
DANIK PARADIS,#214,"StHyacinthe, QC",KTM,Quebec,
FREDERIQUE PARENT,#205,",",Yamaha,Quebec,
TEE PERROTT,#737,"CALGARY, AB",Yamaha,Alberta,
JESS PETTIS,#1,"Saint-Alphonse-de-gr, QC",Yamaha,Quebec,
AISHA PICOTTE,#32,"Langley, BR",KTM,British Columbia,
ZAVIER PITRE,#210,"Fredericton, NE",Husqvarna,New Brunswick,
SETH PLEICE,#250,"Dawsoncreek, BR",KTM,British Columbia,
DRAKE PLOTTS,#151,"Draytonvalley, AB",Gas Gas,Alberta,
ANTOINE POIRIER,#198,"Notre-Damedumont-car, QC",Triumph,Quebec,
ARYTON POMEROY,#126,",",Yamaha,Ontario,
NOAH PORTER,#44,"WilliamsLake, BR",KTM,British Columbia,
JORDAN POTVIN,#448,"Saint-Leonard-de-Por, QC",Yamaha,Quebec,
COLE PRANGER,#93,"Newbury, ON",Gas Gas,Ontario,
SEBASTIEN RACINE,#12,"Casselman, ON",Yamaha,Ontario,
TYLER RAYNER,#734,"PETROLIA, ON",Stark,Ontario,
DYLAN REMPEL,#24,"Aylmer, ON",KTM,Ontario,
JAYDEN RILEY,#148,"Penhold, AB",Husqvarna,Alberta,
LUDOVIK RIVARD,#101,"Degelis, QC",Kawasaki,Quebec,
DANNY ROBERTSON,#141,"Calgary, AB",KTM,Alberta,
COLE ROCHEFORT,#442,"williamslake, BR",Yamaha,British Columbia,
KAREN ROMINICK,#513,"RedDeer, AB",Honda,Alberta,
AUDREY ROSSER,#506,"Strathroy, ON",KTM,Ontario,
ANTHONY ROTH,#514,"StaffordTownship, NE",Yamaha,New Jersey,
ZACHARY ROUSSEAU,#115,"Levis, QC",Yamaha,Quebec,
MAX SANFORD,#185,"Pasadena, MD",Kawasaki,Maryland,
TREVOR SCHMIDT,#69,"Rochester, NE",KTM,New York,
CLAYTON SCHMUCKI,#35,"RedDeerCounty, AB",KTM,Alberta,
TANNER SCOTT,#27,"Oromedonte, ON",Honda,Ontario,
CAMPBELL SEARLE,#445,", QC",Yamaha,Quebec,
TYLER SHEWCHYK,#777,"StThomas, ON",Honda,Ontario,
RANDY SIMPSON,#145,"Canaan, ME",Yamaha,Maine,
DESTINY SLINGERLAND,#17,"Cowley, AB",Yamaha,Alberta,
ANTHONY SPADACCINI,#98,"Cumberland, ON",KTM,Ontario,
KANE SPEAR,#446,"Washingtonville, NE",Yamaha,New York,
JAYLEN SPENCER,#126,"Earltown, NO",Husqvarna,Nova Scotia,
JOHNATHAN STASUKELIS,#775,"Phillipston, MA",Gas Gas,Massachusetts,
GUILLAUME ST-CYR,#78,"Victoriaville, QC",KTM,Quebec,
HUNTER STEMPEL,#664,"BayShore, NE",Husqvarna,New York,
TYLER STEPEK,#314,"MountAiry, MD",Yamaha,Maryland,7
TYLER STEPEK,#314,"MountAiry, MD",Kawasaki,Maryland,6
ETHAN STEVENSON,#57,"Oshawa, ON",Yamaha,Ontario,
EVAN STEWART,#423,"HollandLanding, ON",KTM,Ontario,
EVAN STICE,#25,"Carmen, ID",Triumph,Idaho,
GAGE STINE,#268,"Woodsboro, MD",Yamaha,Maryland,
MATTHEW STOKES,#317,"Boissevain, MB",Kawasaki,Manitoba,
LANE STUPNISKI,#717,"Barrhead, AB",Honda,Alberta,
ROSALY SYLVESTRE,#112,"Berthierville, QC",Yamaha,Quebec,
KANDREYA SZUSZ,#159,"Kingsville, ON",KTM,Ontario,
JOE TAIT,#85,"Wilton, CT",Yamaha,Connecticut,
NOLAN TALES,#168,"StThomas, ON",Yamaha,Ontario,
